City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Carros,43.7894,7.184,89.31,55,20,6.91,FR,2022-06-17 16:04:57
115,Bandarbeyla,9.4942,50.8122,78.17,80,22,28.72,SO,2022-06-17 16:04:57
116,San Juan,-31.5375,-68.5364,62.04,18,0,10.51,AR,2022-06-17 16:01:19
117,Urumqi,43.801,87.6005,74.35,36,0,6.71,CN,2022-06-17 16:04:57
118,Aksarayskiy,46.7924,48.0119,77.32,37,98,5.68,RU,2022-06-17 16:04:58
119,Pochutla,15.7432,-96.4661,84.81,67,100,3.89,MX,2022-06-17 16:04:58
120,The Pas,53.8251,-101.2541,55.99,52,89,8.16,CA,2022-06-17 16:04:58
121,Diego De Almagro,-26.3667,-70.05,63.28,20,0,3.15,CL,2022-06-17 16:04:59
122,Jeremie,18.65,-74.1167,86.54,62,86,4.85,HT,2022-06-17 16:04:59
123,Siniscola,40.5719,9.6922,85.55,46,7,5.53,IT,2022-06-17 16:04:59
124,Feijo,-8.1642,-70.3536,80.73,82,36,1.36,BR,2022-06-17 16:05:00
125,Quelimane,-17.8786,36.8883,66.36,79,14,4.09,MZ,2022-06-17 16:05:00
126,Belyy Yar,53.6039,91.3903,64.29,63,0,8.95,RU,2022-06-17 16:05:00
127,Flinders,-34.5833,150.8552,57.18,75,53,5.99,AU,2022-06-17 16:05:00
128,Kulhudhuffushi,6.6221,73.07,82.62,78,51,11.9,MV,2022-06-17 16:05:01
129,Arraial Do Cabo,-22.9661,-42.0278,78.66,50,0,10.36,BR,2022-06-17 16:05:01
130,Santa Isabel,-23.3156,-46.2214,79.9,26,1,8.88,BR,2022-06-17 16:04:21
131,Berlevag,70.8578,29.0864,42.8,87,75,4.61,NO,2022-06-17 16:05:01
132,Kardla,58.9978,22.7492,66.18,63,0,6.91,EE,2022-06-17 16:05:02
133,Broome,42.2506,-75.833,82.02,52,75,13.8,US,2022-06-17 16:05:02
134,Hilo,19.7297,-155.09,71.62,86,43,3.0,US,2022-06-17 16:01:22
135,Arlit,18.7369,7.3853,102.52,14,96,11.86,NE,2022-06-17 16:05:03
136,Ilulissat,69.2167,-51.1,37.42,93,75,3.44,GL,2022-06-17 16:05:03
137,Scottsbluff,41.8666,-103.6672,79.92,52,0,14.97,US,2022-06-17 16:05:03
138,Campina Verde,-19.5356,-49.4864,87.96,20,0,8.39,BR,2022-06-17 16:05:04
139,Hualmay,-11.0964,-77.6139,65.53,70,36,9.37,PE,2022-06-17 16:05:04
140,Bathsheba,13.2167,-59.5167,86.61,66,40,23.02,BB,2022-06-17 16:05:04
141,Mgandu,-5.95,34.1333,69.26,41,17,6.13,TZ,2022-06-17 16:05:05
142,Tuatapere,-46.1333,167.6833,37.87,92,9,3.27,NZ,2022-06-17 16:05:05
143,Thompson,55.7435,-97.8558,57.81,21,57,4.45,CA,2022-06-17 16:05:05
144,Paamiut,61.994,-49.6678,42.76,76,100,23.09,GL,2022-06-17 16:05:06
