City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Umm Lajj,SA,84.25,clear sky,25.0213,37.2685,Moon light Furnished Units
273,Moindou,NC,72.79,clear sky,-21.6924,165.677,Equi-lodge de Moindou
275,Jobat,IN,80.4,overcast clouds,22.4167,74.5667,Singh house
276,Obo,CF,66.58,overcast clouds,5.3998,26.4869,
277,Dali,CN,65.55,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
278,Sabzevar,IR,72.97,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
279,Kurchum,KZ,67.84,clear sky,48.5722,83.6542,"Gostinitsa ""Kneda"""
280,Erzin,TR,70.74,scattered clouds,36.9559,36.2,Artemis Otel
281,Sihora,IN,76.44,scattered clouds,23.4833,80.1167,Hotel Yash Raj Sihora
282,Pochutla,MX,75.11,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
284,Manoel Urbano,BR,72.41,clear sky,-8.8389,-69.2597,Baixada Beira Rio
286,Morros,BR,74.53,few clouds,-9.4467,-46.3003,
287,Kasongo-Lunda,CD,66.13,overcast clouds,-6.4667,16.8167,
288,Gondanglegi,ID,79.54,few clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
290,Long Branch,US,70.21,clear sky,40.3043,-73.9924,Ocean Place Resort & Spa
291,Tautira,PF,78.01,scattered clouds,-17.7333,-149.15,Pension Oaoa
292,Vieux-Habitants,GP,78.71,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
293,Beatrice,US,89.46,clear sky,40.2681,-96.747,Victorian Inn Beatrice
295,Kupang,ID,82.51,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
296,Natal,BR,74.05,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
297,Ofaqim,IL,65.71,clear sky,31.3141,34.6203,The Negev Experience
298,Talaya,RU,66.72,overcast clouds,61.3833,152.75,
301,Saint-Georges,GD,79.18,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
302,Saint George,US,85.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
304,Brus Laguna,HN,75.61,overcast clouds,15.75,-84.4833,
305,Bubaque,GW,80.19,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
306,Arlit,NE,90.37,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
307,Marzuq,YE,80.15,overcast clouds,14.4,46.4667,
308,Kaele,CM,75.47,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
310,Souillac,MU,69.53,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
311,Munai,PH,80.24,scattered clouds,7.9758,124.0636,
314,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Base Lodging
316,Omboue,GA,71.53,scattered clouds,-1.5746,9.2618,Hotel Olako
317,Colombo,LK,76.95,overcast clouds,6.9319,79.8478,Galle Face Hotel
323,Marathon,US,80.13,clear sky,44.9,-89.7668,
325,Arawa,PG,86.7,clear sky,-6.2132,155.5367,Coastline Guest House
326,Carnarvon,AU,65.41,clear sky,-24.8667,113.6333,Hospitality Carnarvon
328,Sangar,RU,68.22,broken clouds,63.9242,127.4739,
329,Limbang,MY,75.31,light rain,4.75,115.0,Purnama Hotel
331,Alyangula,AU,79.99,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
332,Korla,CN,80.04,overcast clouds,41.7597,86.1469,Gulisitan Hotel
335,Ambon,ID,84.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
338,Arboletes,CO,78.48,overcast clouds,8.8505,-76.4269,Hotel Playa Star
345,Katherine,AU,77.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
346,Gimli,CA,79.43,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
350,Castelldefels,ES,77.11,clear sky,41.2779,1.9703,Aparthotel Solifemar
351,Gorontalo,ID,81.97,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
352,Santa Rosalia,MX,85.33,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
353,Esil,KZ,67.14,overcast clouds,51.9556,66.4042,Egorkino Hotel
354,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
355,Shelbyville,US,78.24,clear sky,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
357,Ponta Do Sol,PT,69.01,overcast clouds,32.6667,-17.1,Hotel do Campo
360,Makat,KZ,73.44,scattered clouds,47.6469,53.3463,Umit
362,Pangoa,PE,69.44,overcast clouds,-12.1167,-73.0,
365,La Palma,US,85.91,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
366,Sibolga,ID,79.34,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
367,Mahina,PF,83.97,broken clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
370,Van,TR,67.35,clear sky,38.4924,43.3831,Elite World Van Hotel
373,Bud,US,77.02,clear sky,39.447,-86.1758,Ted McQuinn Trust
374,Boyolangu,ID,78.91,light rain,-8.1181,111.8935,Yos ega cv
376,Virginia Beach,US,75.02,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
377,Ust-Maya,RU,75.47,few clouds,60.4167,134.5333,
379,Lyuban,BY,67.5,clear sky,52.7985,28.0048,"Gostinitsa ""Oressa"""
380,Bathsheba,BB,80.92,broken clouds,13.2167,-59.5167,Atlantis Hotel
381,Adrar,MR,85.82,broken clouds,20.5022,-10.0711,
382,Tuy Hoa,VN,86.43,clear sky,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
383,Vao,NC,71.2,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
386,Mazagao,BR,73.17,clear sky,-0.115,-51.2894,Recanto dos Ferreiras
388,Fort Nelson,CA,77.52,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
389,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
390,Dosso,NE,89.49,clear sky,13.049,3.1937,Hotel Toubal
395,Iranshahr,IR,87.28,clear sky,27.2025,60.6848,نیک سرشت
397,San Policarpo,PH,82.09,broken clouds,12.1791,125.5072,Agapita M. Nicart
398,Bela,IN,83.52,overcast clouds,25.9333,81.9833,Raj Bhawan
399,Hami,CN,83.14,overcast clouds,42.8,93.45,Laoyutang Resort
400,Jiangyou,CN,80.22,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
401,Zhanaozen,KZ,71.64,clear sky,43.3,52.8,K.korabay 28A
404,Hachinohe,JP,77.41,scattered clouds,40.5,141.5,Hachinohe Grand Hotel
406,Chirongui,YT,76.93,light rain,-12.9319,45.1483,La Villa Mahatsara
408,Linguere,SN,82.44,overcast clouds,15.3953,-15.1193,AYO Casablanca
409,Moctezuma,MX,88.29,overcast clouds,29.8,-109.6667,Hotel Lobohombo
411,Biak,ID,77.65,overcast clouds,-0.9131,122.8766,Penginapan Kim
