City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Albany,US,42.6001,-73.9662,63.45,45,5,10.2,clear sky
112,Hermanus,ZA,-34.4187,19.2345,43.81,84,0,11.1,clear sky
113,Bengkulu,ID,-3.8004,102.2655,76.39,88,100,5.61,overcast clouds
114,Pareora,NZ,-44.4871,171.2132,48.18,81,100,8.66,overcast clouds
115,Neuquen,AR,-38.9516,-68.0591,47.44,69,99,6.42,overcast clouds
116,New Norfolk,AU,-42.7826,147.0587,55.89,83,89,1.01,overcast clouds
117,Hobart,AU,-42.8794,147.3294,56.23,80,75,3.44,broken clouds
118,Klyuchevskiy,RU,53.5317,119.4519,56.3,99,100,1.72,moderate rain
119,Tezu,IN,27.9167,96.1667,72.77,99,100,2.73,overcast clouds
120,Tigzirt,DZ,36.8886,4.1198,75.72,59,5,2.64,clear sky
121,Constitucion,CL,-35.3333,-72.4167,51.82,69,100,4.52,overcast clouds
122,Jamestown,US,42.097,-79.2353,60.71,62,0,8.05,clear sky
123,Yangjiang,CN,21.85,111.9667,81.7,88,100,14.41,light rain
124,Saskylakh,RU,71.9167,114.0833,45.25,50,10,3.76,clear sky
125,Ahipara,NZ,-35.1667,173.1667,54.84,83,100,13.4,moderate rain
126,Yinchuan,CN,38.4681,106.2731,81.66,42,100,5.97,overcast clouds
127,Asfi,MA,32.2994,-9.2372,66.96,90,5,11.97,clear sky
128,Faanui,PF,-16.4833,-151.75,79.36,75,41,18.66,light rain
129,Filotion,GR,37.05,25.5,66.43,78,0,14.97,clear sky
130,Tra Vinh,VN,9.9347,106.3453,83.25,79,69,4.43,broken clouds
131,Paengaroa,NZ,-37.8167,176.4167,56.91,62,100,4.0,overcast clouds
132,Tura,IN,25.5198,90.2201,73.42,97,100,5.06,overcast clouds
133,Kungurtug,RU,50.5994,97.5228,56.98,75,100,1.52,overcast clouds
134,Sayyan,YE,15.1718,44.3244,62.62,52,100,3.44,overcast clouds
135,Itoman,JP,26.1247,127.6694,88.18,79,40,13.8,scattered clouds
136,Pisco,PE,-13.7,-76.2167,60.85,88,40,3.44,mist
137,Salalah,OM,17.0151,54.0924,84.29,94,75,8.05,broken clouds
138,Dhamtari,IN,20.7072,81.5497,79.86,77,100,6.6,overcast clouds
139,Hilo,US,19.7297,-155.09,84.27,86,3,8.99,clear sky
140,Grants,US,35.1473,-107.8514,59.23,77,75,0.0,broken clouds
141,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,93,100,19.57,overcast clouds
142,Qianan,CN,44.9932,124.0581,82.99,48,99,16.71,overcast clouds
143,Vila Velha,BR,-20.3297,-40.2925,67.95,95,90,10.25,moderate rain
144,Ust-Kulom,RU,61.6864,53.6902,51.71,95,97,3.0,overcast clouds
145,Bushehr,IR,28.9684,50.8385,90.66,38,0,5.75,clear sky
146,Kodiak,US,57.79,-152.4072,51.31,87,100,9.22,light rain
147,Alba,PL,52.0324,23.1165,63.16,73,0,9.08,clear sky
148,Iqaluit,CA,63.7506,-68.5145,50.7,45,97,17.0,overcast clouds
149,Faya,SA,18.3851,42.4509,70.32,40,100,4.65,overcast clouds
150,Olean,US,42.0776,-78.4297,59.68,50,0,0.0,clear sky
151,Pokhara,NP,28.2333,83.9833,72.64,81,99,2.48,overcast clouds
152,Wanning,CN,18.8003,110.3967,85.69,77,100,13.56,overcast clouds
153,Houston,US,29.7633,-95.3633,97.36,45,0,14.97,clear sky
154,Marovoay,MG,-16.1,46.6333,73.0,63,66,5.55,broken clouds
155,Quiindy,PY,-25.9667,-57.2667,53.37,73,59,3.47,broken clouds
156,Omurtag,BG,43.1,26.4167,54.03,83,0,2.21,clear sky
157,Talnakh,RU,69.4865,88.3972,63.21,32,100,7.81,overcast clouds
158,Coquimbo,CL,-29.9533,-71.3436,51.53,81,0,5.75,clear sky
159,Kailua,US,21.4022,-157.7394,84.02,69,42,7.0,scattered clouds
160,Sambava,MG,-14.2667,50.1667,71.78,84,71,14.41,light rain
161,Eufaula,US,31.8913,-85.1455,85.32,55,0,6.58,clear sky
162,Maragogi,BR,-9.0122,-35.2225,74.82,87,34,5.32,scattered clouds
163,Kattivakkam,IN,13.2167,80.3167,78.89,67,100,8.95,overcast clouds
164,Jieshi,CN,22.8134,115.8257,82.22,85,98,13.8,overcast clouds
165,Luderitz,NA,-26.6481,15.1594,54.59,81,0,6.38,clear sky
166,Vanavara,RU,60.34,102.2797,56.53,72,99,8.86,overcast clouds
167,Nizhnevartovsk,RU,60.9344,76.5531,68.02,56,0,4.47,clear sky
168,Buraydah,SA,26.326,43.975,88.18,12,5,9.82,clear sky
169,Lunca Muresului,RO,46.4333,23.9,55.45,72,0,1.99,clear sky
170,Antigonish,CA,45.6169,-61.9986,60.82,79,100,6.26,overcast clouds
171,Smoky Lake,CA,54.1169,-112.4686,64.26,67,100,7.7,overcast clouds
172,Hay River,CA,60.8156,-115.7999,58.55,49,38,5.53,scattered clouds
173,Jingdezhen,CN,29.2947,117.2079,74.66,99,100,1.81,overcast clouds
174,Humaita,BR,-7.5061,-63.0208,75.9,67,42,1.05,scattered clouds
175,Corinth,GR,37.9407,22.9573,74.89,57,6,4.21,clear sky
176,Olafsvik,IS,64.8945,-23.7142,48.13,97,100,12.64,overcast clouds
177,Basoko,CD,1.2391,23.616,69.22,95,100,0.36,overcast clouds
178,Airai,TL,-8.9266,125.4092,66.22,54,92,3.09,overcast clouds
179,Khash,IR,28.2211,61.2158,74.34,25,6,11.12,clear sky
180,Russell,US,32.3502,-85.1999,83.91,53,0,5.66,clear sky
181,Mount Forest,CA,43.9795,-80.7221,58.39,71,100,3.98,overcast clouds
182,Provideniya,RU,64.3833,-173.3,42.91,93,40,13.42,fog
183,Ishinomaki,JP,38.4167,141.3,82.49,70,2,8.86,clear sky
184,Sena Madureira,BR,-9.0656,-68.6569,74.43,79,67,0.98,broken clouds
185,Ginda,IN,30.6945,78.4932,61.77,67,8,3.33,clear sky
186,Saint-Philippe,RE,-21.3585,55.7679,65.79,78,59,13.94,light rain
187,Katsuura,JP,35.1333,140.3,74.75,86,100,18.66,overcast clouds
188,West Bay,KY,19.3667,-81.4167,82.47,85,100,9.22,overcast clouds
189,Prainha,BR,-1.8,-53.48,73.65,92,6,3.94,clear sky
190,Rocha,UY,-34.4833,-54.3333,44.71,65,12,5.41,few clouds
191,Asau,RO,46.4333,26.4,58.12,73,0,4.52,clear sky
192,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,56,0,16.11,clear sky
193,Zhigansk,RU,66.7697,123.3711,45.72,58,45,25.08,scattered clouds
194,Havelock,US,34.8791,-76.9013,72.95,61,80,3.71,broken clouds
195,Cap Malheureux,MU,-19.9842,57.6142,66.47,77,0,4.0,clear sky
196,Griffith,US,41.5284,-87.4237,79.95,41,0,6.91,clear sky
197,Chuy,UY,-33.6971,-53.4616,45.09,72,1,6.46,clear sky
198,Sisimiut,GL,66.9395,-53.6735,42.67,70,100,13.62,overcast clouds
199,Rosa Zarate,EC,0.3333,-79.4667,73.89,93,88,2.51,overcast clouds
200,Axim,GH,4.8699,-2.2405,76.24,90,100,6.11,overcast clouds
201,Devils Lake,US,48.1128,-98.8651,93.31,51,0,13.8,clear sky
202,Ambilobe,MG,-13.2,49.05,67.08,85,7,3.94,clear sky
203,Vostok,RU,46.4856,135.8833,60.93,83,64,5.57,broken clouds
204,Fairbanks,US,64.8378,-147.7164,70.61,53,75,6.91,shower rain
205,Thompson,CA,55.7435,-97.8558,80.51,50,88,6.91,overcast clouds
206,Atar,MR,20.5169,-13.0499,80.22,63,95,5.12,moderate rain
207,Padang,ID,-0.9492,100.3543,73.45,88,100,5.55,overcast clouds
208,Alexandria,EG,31.2156,29.9553,73.69,75,0,8.63,clear sky
209,Mogadishu,SO,2.0371,45.3438,78.42,78,89,16.78,overcast clouds
210,Namibe,AO,-15.1961,12.1522,59.09,86,0,5.53,clear sky
211,Sakete,BJ,6.7362,2.6587,72.55,92,100,3.62,overcast clouds
212,Port Hardy,CA,50.6996,-127.4199,56.53,74,100,11.52,overcast clouds
213,Lugo,ES,43.0,-7.5,53.76,95,100,1.01,overcast clouds
214,Monrovia,LR,6.3005,-10.7969,77.67,77,5,7.94,clear sky
215,Tahe,CN,52.3333,124.7333,59.34,90,100,4.56,light rain
216,Iracoubo,GF,5.4802,-53.2011,77.65,84,100,5.57,overcast clouds
